blind_id	source_file	redaction_pattern	count	remaining_suspect_terms
M003	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/deepseek-v3.2.md	deepseek-v3.2	1	
M003	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/deepseek-v3.2.md	deepseek-v3.2.md	1	
M003	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/deepseek-v3.2.md	deepseek-v3.2	1	
M003	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/deepseek-v3-2.md	deepseek-v3-2/CTRL1_10	1	
M003	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/deepseek-v3-2.md	deepseek-v3-2/CTRL1_1	1	
M003	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/deepseek-v3-2.md	deepseek-v3-2/CTRL1_2	1	
M003	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/deepseek-v3-2.md	deepseek-v3-2/CTRL1_3	1	
M003	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/deepseek-v3-2.md	deepseek-v3-2/CTRL1_4	1	
M003	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/deepseek-v3-2.md	Opus-4.7-style	1	
M003	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/deepseek-v3-2.md	deepseek-v3-2	1	
M003	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v3-2-or-16k/LONG_1.json	NONE	0	
M003	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v3-2-or-16k/OPEN_1.json	NONE	0	
M003	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_deepseek-v3-2-or-16k/VARY_1.json	NONE	0	
M003	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_values/deepseek-v3-2/CTRL1_1.json	NONE	0	
M003	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_values/deepseek-v3-2/CTRL3_1.json	NONE	0	
M003	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_values/deepseek-v3-2/G3_1.json	NONE	0	
M005	personality card	MISSING	0	missing_source
M005	personality profile	MISSING	0	missing_source
M005	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash.md	gemini-2-0-flash-or-pin-google/CTRL1_10	1	
M005	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash.md	gemini-2-0-flash-or-pin-google/CTRL1_1	1	
M005	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash.md	gemini-2-0-flash-or-pin-google/CTRL1_2	1	
M005	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash.md	gemini-2-0-flash-or-pin-google/CTRL1_3	1	
M005	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash.md	gemini-2-0-flash-or-pin-google/CTRL1_4	1	
M005	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash.md	gemini-2-0-flash	1	
M005	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash.md	Opus-4.7-style	1	
M005	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-2-0-flash-or-pin-google/LONG_1.json	NONE	0	
M005	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-2-0-flash-or-pin-google/OPEN_1.json	NONE	0	
M005	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-2-0-flash-or-pin-google/VARY_1.json	NONE	0	
M005	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_values/gemini-2-0-flash-or-pin-google/CTRL1_1.json	NONE	0	
M005	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_values/gemini-2-0-flash-or-pin-google/CTRL3_1.json	NONE	0	
M005	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_values/gemini-2-0-flash-or-pin-google/G3_1.json	NONE	0	
M007	personality card	MISSING	0	missing_source
M007	personality profile	MISSING	0	missing_source
M007	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash-lite.md	gemini-2-0-flash-lite-or-pin-google/CTRL1_10	1	
M007	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash-lite.md	gemini-2-0-flash-lite-or-pin-google/CTRL1_1	1	
M007	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash-lite.md	gemini-2-0-flash-lite-or-pin-google/CTRL1_2	1	
M007	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash-lite.md	gemini-2-0-flash-lite-or-pin-google/CTRL1_3	1	
M007	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash-lite.md	gemini-2-0-flash-lite-or-pin-google/CTRL1_4	1	
M007	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash-lite.md	gemini-2-0-flash-lite	1	
M007	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash-lite.md	Opus-4.7-style	1	
M007	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-2-0-flash-lite-or-pin-google/LONG_1.json	NONE	0	
M007	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-2-0-flash-lite-or-pin-google/OPEN_1.json	NONE	0	
M007	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-2-0-flash-lite-or-pin-google/VARY_1.json	NONE	0	
M007	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_values/gemini-2-0-flash-lite-or-pin-google/CTRL1_1.json	NONE	0	
M007	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_values/gemini-2-0-flash-lite-or-pin-google/CTRL3_1.json	NONE	0	
M007	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_values/gemini-2-0-flash-lite-or-pin-google/G3_1.json	NONE	0	
M009	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gemini-2.5-flash.md	gemini-2.5-flash	1	
M009	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gemini-2.5-flash.md	gemini-2.5-flash.md	1	
M009	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gemini-2.5-flash.md	gemini-2.5-flash	1	
M009	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-flash.md	gemini-2-5-flash-direct/CTRL1_10	1	
M009	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-flash.md	gemini-2-5-flash-direct/CTRL1_1	1	
M009	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-flash.md	gemini-2-5-flash-direct/CTRL1_2	1	
M009	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-flash.md	gemini-2-5-flash-direct/CTRL1_3	1	
M009	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-flash.md	gemini-2-5-flash-direct/CTRL1_4	1	
M009	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-flash.md	gemini-2-5-flash	1	
M009	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-flash.md	Opus-4.7-style	1	
M009	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-2-5-flash-direct/LONG_1.json	NONE	0	
M009	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-2-5-flash-direct/OPEN_1.json	NONE	0	
M009	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-2-5-flash-direct/VARY_1.json	NONE	0	
M009	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_values/gemini-2-5-flash-direct/CTRL1_1.json	NONE	0	
M009	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_values/gemini-2-5-flash-direct/CTRL3_1.json	NONE	0	
M009	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_values/gemini-2-5-flash-direct/G3_1.json	NONE	0	
M011	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gemini-2.5-pro.md	gemini-2.5-pro	1	
M011	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gemini-2.5-pro.md	gemini-2.5-pro.md	1	
M011	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gemini-2.5-pro.md	gemini-2.5-pro	1	
M011	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-pro.md	gemini-2-5-pro/CTRL1_10	1	
M011	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-pro.md	gemini-2-5-pro/CTRL1_1	1	
M011	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-pro.md	gemini-2-5-pro/CTRL1_2	1	
M011	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-pro.md	gemini-2-5-pro/CTRL1_3	1	
M011	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-pro.md	gemini-2-5-pro/CTRL1_4	1	
M011	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-pro.md	gemini-2-5-pro	1	
M011	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-pro.md	Opus-4.7-style	1	
M011	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-2-5-pro-16k/LONG_1.json	NONE	0	
M011	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-2-5-pro-16k/OPEN_1.json	NONE	0	
M011	/Users/danieltenner/dev/model-personality-corpus-v2/data/traces_freeflow/freeflow_gemini-2-5-pro-16k/VARY_1.json	NONE	0	
